stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,5.35,0,1.07,1.07,1.07,0,0,1.07,0,0,0
21Day,0,0,0,0,1.34,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,1.34
3Month,0.32,0.32,4.48,0.64,4.16,2.88,5.44,0,17.92,0.32,0,1.28,0.32,2.24,0,0.32,0.96,0,0.32,0.32,3.52
22Month,2.19,1.09,3.28,0,4.92,85.28,0.55,0.55,18.59,0,0.55,3.28,2.19,0,0,0.55,0.55,0,0,0,1.09
