stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia
24hpf,0,0,0,0,12.26,0,12.26,0,0,0,0
72hpf,1.07,1.07,1.07,3.21,0,50.28,93.07,1.07,1.07,0,10.7
21Day,0,1.34,0,0,2.68,8.03,22.76,0,0,2.68,2.68
