stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,T_cell
24hpf,0,0,0,0,0,0,0,4.09,8.17,0,0,0,40.86,0,0
72hpf,2.14,1.07,0,0,0,0,0,0,1.07,0,0,6.42,3.21,2.14,0
21Day,1.34,0,1.34,2.68,1.34,1.34,4.02,1.34,2.68,1.34,1.34,1.34,2.68,5.35,1.34
