stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,3.21,0,3.21,0,0,0,0,105.91,3.21,1.07,0,1.07,0,0,5.35,0,0,0,0,0
21Day,1.34,0,0,12.05,1.34,0,2.68,0,0,0,0,0,0,2.68,1.34,0,1.34,1.34,28.11,0,0,0,0,89.68,16.06,2.68,8.03,4.02,5.35,0,25.43,0,1.34,0,0,0
3Month,1.6,0.64,0.32,16,0,0.96,0,0,1.6,14.4,0.64,9.92,3.2,2.56,2.56,1.28,62.07,10.24,54.71,232.6,0,1.92,0.32,5.12,1.92,6.72,33.27,0.96,0.96,2.24,5.76,0.32,2.88,0.96,0.96,1.6
22Month,0,3.83,1.09,31.16,0,1.64,2.19,1.09,0,7.65,2.73,35.53,3.83,37.17,4.37,0,36.63,20.77,203.9,57.95,2.19,2.19,0,20.23,6.56,6.01,37.17,1.09,1.09,2.73,22.96,0.55,2.73,2.73,0,6.01
