stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,20.43,0,0,0,0,0,0,0,0
72hpf,4.28,0,1.07,0,0,0,0,0,0,0,0,0,3.21,0,1.07,0,0,0,6.42,1.07,0,0,0,0,0,0,0,0
21Day,13.39,0,10.71,0,0,0,0,0,0,0,0,0,68.27,0,0,0,0,0,1.34,0,0,0,0,1.34,0,2.68,0,0
3Month,0,0,3.2,0.32,0.64,0.64,0,9.28,0.96,0,1.92,0.96,0.96,0.64,0.96,0.32,0,0.64,0,0,0.32,0,0,0.32,1.92,0,0.32,1.6
22Month,0,1.09,2.19,0,0,0.55,1.09,40.45,3.28,0.55,2.73,0,1.09,1.09,1.64,0.55,1.09,0.55,0.55,0,0.55,1.09,0.55,0,1.64,0,0,1.64
