stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,2.14,0,0,0,0,13.91,8.56,0,0,0,0,1.07,1.07,0,0,0
21Day,0,0,2.68,8.03,5.35,0,0,1.34,0,0,0,0,0,2.68,1.34,2.68,0,0,1.34,10.71,4.02,2.68,1.34,0,0,4.02,2.68,0,1.34,1.34
3Month,0,1.28,0.96,7.68,0,0,0.64,5.44,0,5.12,3.84,2.56,0.32,10.24,2.56,5.76,0.32,0,0,0.64,0,0.64,0,0.32,2.88,0.64,0,0.96,172.45,3.2
22Month,0,0.55,0,0.55,0,0.55,0,4.92,0.55,2.19,2.19,0.55,0.55,0,0.55,1.09,0,0.55,0,0,0.55,0,0,0,0,0,0,0,0,0.55
