stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0
72hpf,0,0,5.35,0,0,0,0,0,0,1.07,0,1.07,0,1.07,2.14,3.21,0,0,0,0,0
21Day,1.34,0,37.48,0,5.35,0,0,2.68,0,1.34,0,0,8.03,2.68,0,6.69,0,0,0,0,0
3Month,0,0.32,9.28,0.32,16,2.24,0.64,0,1.6,0.32,0,0,18.56,0,0,6.08,0.32,0.64,0.32,0.64,0.32
22Month,0,0,2.73,0,1.09,0,0,0,0.55,0.55,0.55,0,2.19,0,0,0.55,0,0,0,0,0
