stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,49.04,0,0,0,0,0,0,0,4.09,0,4.09,24.52,0,0,0,0,12.26,65.38,4.09,0,0,0,0,0,0,0
72hpf,6.42,19.26,13.91,0,0,0,0,0,1.07,0,2.14,27.81,1.07,69.54,0,0,1.07,0,14.98,10.7,49.21,0,0,2.14,0,6.42,0,0
21Day,12.05,2.68,9.37,0,1.34,0,0,0,8.03,0,1.34,2.68,0,82.99,0,0,0,0,5.35,5.35,9.37,4.02,0,1.34,1.34,1.34,1.34,2.68
3Month,0,2.88,0.96,0.64,0.32,0,7.36,0.64,0,1.92,0,0.96,0.64,3.2,1.28,0,0.32,0,0.32,0,0,0,0.64,0,0,0,2.88,0.64
22Month,0,1.09,0.55,1.09,2.73,0.55,18.04,0,0.55,1.09,0,0,1.64,3.28,0,0.55,1.64,0.55,0,0,0.55,0,0,0,0,0,0,1.64
