stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,114.42,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,20.43,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,2.68,0,2.68,0,1.34,0,0,0,0,5.35,0,0,0,0,4.02,0,0,1.34,0,0,0,0,0,0,0,0,1.34
3Month,0,0.32,1.92,0,9.6,0.64,0,2.24,0.32,0,14.72,0.32,0.32,0.96,0.64,16.64,0.32,0.64,0,0,0,0.32,0.32,0,0.32,0.32,3.52
22Month,0,0,0.55,0.55,0.55,1.09,1.64,8.75,0.55,0,15.85,0,0,0,0.55,3.83,0,0,0,0.55,0.55,0,1.09,0.55,0,0,0.55
