stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,10.71,4.02,0,0,0,0,0,0,0,0,1.34,1.34,41.49,20.08,1.34,0,0,0,0,0,0,0,0,1.34,0,0,0,0,1.34
3Month,0.32,0.32,0.32,114.22,0,1.92,0.32,0,0,0,4.48,1.28,1.92,4.48,9.92,3.84,31.67,1.6,0.64,0,0.64,0.64,2.88,1.6,1.92,0,0.64,0.96,0,0.96,1.6,2.88
22Month,0,1.09,1.64,183.68,0,2.73,4.37,3.83,0.55,0,32.25,4.37,4.37,4.92,10.39,16.4,65.05,6.56,0,2.19,1.09,0,2.19,0,1.64,1.09,0,2.19,1.09,0,0,3.28
