stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,2.14,0,0,0,0,0,1.07,0,0,0
21Day,0,0,4.02,0,0,0,0,0,0,0,1.34,1.34,4.02,0,0,0,0,0,0,0,0,0
3Month,0.32,0.32,13.76,0.32,0.32,0.32,0.32,1.92,11.84,0.96,0.64,4.16,1.92,3.52,1.28,0.32,0.64,0.64,0,0.64,0.96,2.24
22Month,0,0,0,0,0,0,0,0,2.19,0,0,2.19,0.55,0,0.55,0,0.55,0,0,0,0.55,0
