stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,12.26,0,0,0,0,40.86,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,4.28,0,0,7.49,1.07,3.21,0,1.07,0,0,0,0,0,0,4.28,0,4.28,0,0,1.07,2.14,7.49,0,0,0,4.28,0,0,3.21,0,0,0,0
21Day,0,0,0,26.77,0,1.34,0,0,0,1.34,0,2.68,0,1.34,2.68,2.68,5.35,0,0,1.34,0,2.68,0,0,0,4.02,1.34,0,0,0,0,0,5.35
3Month,0,1.6,0,10.24,0,0,0.32,0.64,0,4.16,1.28,0,1.28,1.6,4.48,2.24,0,0.64,0,0.32,0.64,0.32,0.32,0.96,0,0,0,0.32,0,0.32,1.6,14.08,1.6
22Month,0,14.21,1.09,7.65,0,0,0.55,2.19,3.28,30.07,1.64,0,3.28,0.55,1.09,1.64,2.73,0,1.09,0.55,0.55,0,1.64,0,0.55,0.55,0,0.55,0.55,0,0.55,0,0
