stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,4.09,0,0,0,0,0,4.09,69.47,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,0,5.35,6.42,0,0,0,1.07,0,0,2.14,0,0,0,0
21Day,0,0,0,2.68,2.68,0,0,0,0,0,0,1.34,0,0,0,4.02,1.34,0,0,0,0,0,4.02,5.35,0,0,0,0,0,6.69,0,1.34,0,0,0
3Month,0.32,0.64,0.96,14.72,0,0.64,0.96,7.36,0,0,17.6,7.04,0.32,7.04,1.92,3.84,16.32,4.8,1.28,0.32,2.56,1.28,2.56,0.64,0.96,0.32,0,0,2.56,599.27,0.32,0,2.56,199.97,1.6
22Month,0,0.55,1.09,2.19,0,0.55,0.55,2.19,1.09,0,23.51,1.64,0,4.37,1.09,0,3.83,1.64,0,0.55,0.55,0.55,0,0,0,0,9.84,0,0,58.49,0.55,0,0,0.55,0
