stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Pancreatic_macrophage,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0
3Month,0.32,0.32,0.64,0.64,0.32,1.6,0.64,0.64,0.32,0.64,0.64,0,0.32,3.84,0.32,9.6
22Month,0,0,0,0,0,0,0,0,0,0,0,0,0,13.67,0,0
