stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,1.07,0,0,2.14,0,0,4.28,9.63,2.14,0,2.14,0,0
21Day,0,4.02,2.68,1.34,0,0,0,0,0,1.34,0,0,1.34,1.34,0,0,1.34,1.34,1.34,0,0,1.34,0,1.34
3Month,0,0.96,0,0,0,0,0,0.64,0.32,0.32,0.32,0,0.64,0.64,0.64,0.32,0,0.32,0,0,6.08,0,0.64,1.28
22Month,0,1.09,0,0,0.55,1.09,0.55,4.92,0,0.55,0,0,0,0,0.55,0,0,0,0,0,0,0,0,1.09
