stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,4.09,0,16.35,0,0,0,0,0
72hpf,1.07,1.07,1.07,0,0,0,0,0,0,3.21,13.91,5.35,1.07,3.21,0,0,0
21Day,0,1.34,0,0,0,0,0,1.34,1.34,5.35,6.69,2.68,0,0,0,0,2.68
3Month,0,0,0,0,0.32,0,0.32,0,0,0,0,0,0,0,0.96,0.32,0
22Month,0,0,0,0.55,0,0.55,0,0,0.55,0,0,0,0,0,0,0,0.55
