stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,4.09,0,8.17,0,0,0,4.09,0,0,0,4.09,0,0,0,0,8.17,4.09,0,20.43,0,0,0,4.09,0,163.46,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,2.14,0,6.42,2.14,1.07,0,0,0,0,0,0,0,0,0,0,1.07,6.42,0,7.49,0,0,1.07,0,81.3,20.33,0,0,7.49,0,4.28,5.35,3.21,4.28,0,0
21Day,8.03,0,4.02,5.35,0,1.34,0,0,0,0,0,0,0,1.34,0,2.68,1.34,4.02,1.34,2.68,0,1.34,0,0,21.42,8.03,2.68,0,4.02,0,0,0,0,1.34,0,0
22Month,0.55,20.77,1.09,23.51,0.55,0,0.55,0,3.83,20.23,2.19,0,42.09,4.92,1.09,3.28,4.37,3.28,23.51,15.85,1.09,2.19,1.64,0,16.4,2.19,6.01,0.55,0.55,0.55,5.47,2.73,0,0,2.19,22.41
