stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,2.24,42.87,68.47,0.32,6.08,0.32,81.91,10.88,40.31,9.92,0.64,1943.05,1.28,8.64,8,11.2,1.6,0,48.31,0.96,1.6,2.88,1.28,0,0.64,8.64,5.76,0,0,0.32,2.56,4.8,8
22Month,0.55,16.4,18.59,0,0.55,0,21.87,11.48,44.83,1.09,0.55,344.39,2.73,0.55,4.37,3.28,0,1.09,8.2,0,1.64,2.73,0,1.09,0,0.55,0.55,1.09,1.64,0,0,0,1.64
