stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,1.07,4.28,0,3.21,0,3.21,0,1.07,0,0,0,0,0,0,0,0
21Day,0,0,1.34,4.02,0,6.69,0,0,0,0,1.34,2.68,0,0,1.34,10.71,1.34,0,0,1.34,1.34,1.34,1.34,0,1.34,1.34,0,0,1.34,1.34
3Month,0.32,0,5.12,0,0.32,0.32,0.32,3.2,0,40.63,1.28,0,3.84,0.32,0.32,4.48,0.96,0.32,0.32,2.88,0,0,0.32,0.32,0,1.92,0.64,0,0,1.28
22Month,0,0.55,0.55,0,0.55,0,0,7.11,0.55,53.57,0.55,1.64,2.73,0,0,8.2,0,2.73,0.55,0,0,0,0,0,0,0,0,0.55,0,1.64
