stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Muscle_cell,Pancreatic_macrophage,Spermatocyte
21Day,0,1.34,0,0,0,0,1.34,0,0
3Month,0.32,1.92,0.64,0.64,0.32,0.32,37.43,0.32,0.32
22Month,0,0,1.09,0,0,0,3.83,0,0
