stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,3.21,0,4.28,0,0,0,0,0,0,1.07,6.42,2.14,5.35,0,1.07,0,414.01,17.12,0,1.07,5.35,0,0,2.14,2.14,0,0,0
21Day,5.35,0,4.02,2.68,6.69,0,0,0,0,2.68,0,0,1.34,0,9.37,0,0,2.68,108.42,6.69,0,0,2.68,1.34,0,0,1.34,1.34,0,1.34
3Month,0,0.32,1.92,1.92,0,0.64,0.64,0,1.92,0,0.32,0.32,0.64,0.96,0.32,0,0,0,0.96,0,1.28,0,0,0,5.76,0,0,0,0.64,2.24
22Month,0,1.09,1.64,0.55,0,0,0.55,1.09,10.93,0.55,1.64,0,1.09,1.09,2.19,0.55,1.09,0,0,0,0,0.55,0,0,0.55,0,0,0,0,0
