stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hatching_gland,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell
24hpf,8.17,12.26,0,4.09,0,0,8.17,16.35,8.17,69.47,0,0,0,0,0
72hpf,1.07,1.07,1.07,0,0,3.21,0,7.49,21.4,19.26,1.07,2.14,0,1.07,0
21Day,2.68,4.02,1.34,0,1.34,0,0,6.69,9.37,5.35,0,1.34,1.34,0,1.34
3Month,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0
