stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,38.51,5.35,0,23.54,1.07,36.37,0,0,0,2.14,0,0,0,0,0,12.84,69.54,6.42,28.88,0,2.14,2.14,7385.84,100.56,2.14,56.7,66.33,3.21,0,51.35,2.14,3.21,5.35,0,0
21Day,40.16,5.35,0,60.23,1.34,105.74,0,5.35,0,2.68,0,12.05,1.34,14.72,14.72,1.34,69.6,18.74,76.3,0,0,12.05,4698.25,29.45,2.68,26.77,25.43,69.6,5.35,54.88,10.71,36.14,6.69,0,16.06
3Month,0,0,0.32,2.56,0,0,0,0,1.28,0.64,0,5.76,0.32,0,2.24,0,0.32,0.32,0.64,0.64,0,0.32,54.39,0,0,0.96,0,0.32,2.24,2.56,0,0,0,0.32,1.28
22Month,0.55,0.55,0,2.19,0,0,1.09,0.55,0,1.64,1.64,24.6,2.19,0,3.28,0,0,1.64,1.09,0,2.19,0,126.28,0.55,0.55,3.83,0,0,4.37,19.68,1.09,0,0,0,1.09
