stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,1.07,1.07,1.07,0,0,0,0,0,0,0,1.07,2.14,0,0,0,0,0,372.29,8.56,1.07,1.07,3.21,0,0,1.07,0,1.07,0,0
21Day,2.68,0,2.68,0,1.34,1.34,0,0,1.34,0,0,0,2.68,1.34,5.35,1.34,0,0,1.34,113.78,1.34,0,2.68,1.34,4.02,0,2.68,1.34,0,0,2.68
3Month,0,0.32,4.8,0.64,0,0,0.64,0,3.52,0.96,0,0.32,0.64,1.92,4.48,1.28,0.32,0,0,0.64,0,1.28,0,0,0.32,2.24,0,0,0,1.28,4.16
22Month,0.55,0,6.01,0,0,0,1.64,1.64,25.15,3.83,3.28,2.19,0,2.19,6.56,2.73,0.55,1.09,0,0.55,0.55,2.73,0,0,0,3.28,1.09,0,0,0,8.75
