stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,1.07,0,2.14,0,5.35,3.21,2.14,0,1.07,0,0
3Month,0,0.64,0,0.64,0,0,0,6.08,0,3.52,0.32
