stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,16.05,0,0,0,0,0,0,0,0,0,0,1.07,0,0,3.21,0,0,1.07,0,0,0,0,0,0
21Day,22.76,0,1.34,1.34,0,0,0,0,0,0,0,1.34,0,1.34,18.74,1.34,0,1.34,0,0,1.34,0,0,0
3Month,0.64,0,1.28,0,0,0.32,0,1.6,0.64,0.64,0,0.64,0.32,0,1.28,0,0,0,1.28,0,0,0.32,0.64,0.32
22Month,1.09,0.55,2.19,0,1.64,1.64,0.55,17.49,1.09,1.09,0.55,0.55,3.28,0,0,0,0.55,0,1.64,0.55,0,0,0,0.55
