stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte
24hpf,4.09,8.17,0,0,8.17,4.09,12.26,0,0,0,8.17,110.33,4.09,0,0,0,0,0
72hpf,0,1.07,0,0,1.07,1.07,2.14,0,0,0,9.63,6.42,1.07,0,0,1.07,1.07,0
21Day,1.34,4.02,0,0,0,0,17.4,0,2.68,0,1.34,5.35,5.35,2.68,0,0,0,0
3Month,0.32,0.96,0.96,0.32,0,0,1.28,0.32,0,0.32,0,0,0.32,0,0.32,0,0,0.32
22Month,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
