stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,53.12,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,8.17,4.09,0,0,0,0,4.09,32.69,0,0,0,0,0,0,0,0,0
72hpf,2.14,2.14,0,50.28,0,0,0,1.07,0,0,0,0,0,0,0,0,3.21,49.21,2.14,2.14,0,1.07,0,2.14,8.56,6.42,0,0,3.21,0,0,0,0,0,0
21Day,0,1.34,2.68,68.27,0,1.34,0,5.35,0,2.68,0,0,4.02,26.77,37.48,4.02,0,14.72,17.4,5.35,0,0,1.34,0,16.06,1.34,0,4.02,0,4.02,0,0,0,0,12.05
3Month,0,0.64,2.56,34.55,0.32,0,0.32,0,4.8,3.2,0.32,0,27.84,52.47,3.84,19.52,1.28,37.43,6.4,4.16,0.32,0,0.32,0.64,0.32,0,0.32,0.32,0.32,0.32,4.48,0.32,0.64,1.28,4.48
22Month,0.55,0.55,1.09,8.75,0,0,0.55,0,2.73,3.28,0,0,77.08,18.59,6.01,25.15,0,4.37,5.47,2.19,0,3.28,0.55,0,0.55,0,0.55,1.09,0,0.55,1.64,0.55,0,0,6.01
