stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
72hpf,0,1.07,0,0,0,0,0,1.07,0,1.07,0,0,0,1.07,0,0,0,0,0,0,0,0
22Month,1.09,4.37,0.55,1.09,2.73,17.49,3.83,0,2.19,5.47,1.64,0.55,0.55,0.55,0.55,1.64,1.09,0.55,1.09,8.2,0.55,0.55
