stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,1.07,0,0,1.07,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,6.69,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.96,0,12.8,0.32,1.28,2.88,0,2.24,2.88,0.32,3.2,0.64,2.24,2.24,1.6,0.32,1.28,0.64,1.28,0,0.64,0.32,0,0.64,1.28,0.64,1.92
22Month,0,1.09,4.92,0,0.55,2.73,2.19,4.92,2.19,0.55,1.64,0,1.09,0,0,0,0.55,0,0,0,0,0,0,0,0,0,1.64
