stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,453.59,0,0,12.26,0,0,0,0,0,0,0,0,0,4.09,12.26,0,110.33,0,0,0,0,110.33,0,0,0,0,0,0,0,0,0
72hpf,300.61,0,0,2.14,2.14,0,0,0,0,0,0,0,0,0,11.77,0,3.21,0,0,0,21.4,6.42,0,4.28,0,0,4.28,0,0,0,0
21Day,169.99,0,0,2.68,8.03,1.34,0,0,1.34,0,0,6.69,1.34,0,13.39,4.02,18.74,0,17.4,0,8.03,5.35,1.34,0,9.37,0,0,0,0,0,2.68
3Month,16.32,0.64,0.32,56.63,0,0,0.32,1.28,0,6.4,1.28,0.32,0.64,0.64,7.04,0.96,2.88,0.32,4.8,0.32,2.56,0.32,3.2,0,0.96,0.64,0.32,0.96,0.32,0.96,2.24
22Month,4.37,1.09,0,9.29,0,0.55,0,3.28,0.55,36.63,1.09,0,4.92,0,1.64,2.19,5.47,0,2.73,0,1.09,0.55,2.73,0,0,1.09,1.09,0.55,0,0,1.09
