stage,Keratinocyte,Macrophage,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
72hpf,0,0,0,1.07,0,1.07,0
21Day,1.34,1.34,1.34,0,0,0,0
3Month,0,0,0,0,1.28,0,0.32
