stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,4.09,0,102.16,0,0,0,0,0,0,0,0,0,0
72hpf,10.7,5.35,8.56,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,3.21,6.42,9.63,0,3.21,2.14,0,6.42,0,0,0,0,0
21Day,8.03,10.71,8.03,0,0,0,1.34,0,1.34,0,0,1.34,1.34,1.34,0,0,1.34,6.69,5.35,0,0,26.77,0,4.02,1.34,1.34,0,0,0
3Month,16,0.96,0,0.32,0.32,0.96,0.96,0.32,0,0.96,4.48,0.32,1.28,1.92,0.32,0,0.96,1.28,0,0.32,0,0.64,2.88,0,0,0.32,0.32,30.08,0.32
22Month,37.17,0.55,0,0,0,0,7.11,0.55,0,0.55,0,0,0,1.64,0.55,1.09,0,0,0,0,0,0,6.56,0.55,0,0,0,1.09,0.55
