stage,Epithelial_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,4.09,4.09,0,0,0,4.09,0,0,0
72hpf,0,1.07,0,1.07,0,0,1.07,0,3.21
21Day,2.68,0,1.34,2.68,1.34,0,0,1.34,0
