stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,6.69,0,1.34,0,0,1.34,0,6.69,0,0,0,1.34,0,0,0,0,1.34,1.34,1.34,0,0,0,0,0,0,0,0
3Month,0.32,2.56,12.8,0,20.48,1.28,98.86,1.6,119.98,1.28,0.96,1.28,1.92,0.32,0,20.16,8.96,0.64,0,5.76,0.32,3.2,0.32,0,0,0,1.28,0.96
22Month,0,2.19,4.92,0,9.84,0.55,306.13,1.09,87.46,0,0.55,1.09,2.19,0,3.83,11.48,0.55,0,0,4.37,0,0,0.55,0.55,0.55,0.55,0,0.55
