stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,24.52,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,6.42,1.07,4.28,0,7.49,0,0,0,0,0,0,0,0,2.14,5.35,1.07,12.84,0,2.14,0,0,707.13,11.77,0,0,23.54,0,0,5.35,1.07,1.07,1.07,0,0
21Day,2.68,0,14.72,0,4.02,1.34,0,1.34,0,1.34,0,0,0,0,0,0,44.17,0,0,1.34,0,113.78,12.05,0,1.34,30.79,2.68,0,4.02,4.02,0,2.68,1.34,0
3Month,0,0.32,11.84,0,0,0,0,0.96,0,5.12,1.28,0,3.2,0,0.96,0.96,5.12,0.32,0,1.28,0.64,3.2,0,0,0,0,0.32,57.27,1.92,1.6,0,0,23.68,1.28
22Month,0,0.55,6.56,0.55,0,0,0.55,1.64,2.19,19.68,0.55,0.55,3.28,0.55,0.55,1.09,2.73,1.09,1.09,0,0,6.56,0.55,1.09,1.64,0,0,23.51,0,0,0,0,0,0
