stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,4.09,0,0,0,0,0,0,0,4.09,4.09,0,8.17,0,0,4.09,36.78,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,1.07,1.07,0,0,0,0,0,0,0,2.14,3.21,0,3.21,0,0,20.33,8.56,0,0,2.14,2.14,0,3.21,0,0,0,0
21Day,4.02,2.68,1.34,13.39,1.34,2.68,0,1.34,0,0,1.34,0,0,0,5.35,0,14.72,1.34,0,6.69,1.34,1.34,1.34,5.35,0,0,4.02,2.68,0,0,4.02
3Month,0,0.64,0,5.76,0,0,0.64,0,0.32,0,3.2,1.28,6.08,0,0.96,0.64,0.64,0,0.32,0,0.32,0.32,0,0,0,4.8,0.32,0,0.96,2.24,0.64
22Month,0,0,0,0.55,0.55,0,0,0,0,0.55,2.73,1.09,0,0,0,0.55,1.09,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0
