stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,0,0,0,0,0,0,4.09,4.09,0,0,16.35,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,2.14,16.05,10.7,0,3.21
21Day,0,0,0,2.68,0,0,0,0,0,0,8.03,4.02,1.34,0
3Month,0,0,0,0,0.64,0,0.32,0,0,0,0,0,0,0
22Month,0.55,0.55,0,0,1.09,0.55,0,0,0,0,0,0,0,0
