stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,1.07,0,0,0,3.21,1.07,0,0,0,0,1.07
21Day,0,0,1.34,0,1.34,0,0,0,0,60.23,0,1.34,1.34,0,4.02,0,0,0,9.37,0,0,0,1.34,1.34,33.46
3Month,0,0.96,0,0,0,0.32,1.28,0.32,0.32,1.92,0.32,0.32,0.96,0.96,0.96,0.32,0,0.64,0.32,0,0.32,0,0,0.64,55.67
22Month,1.09,0,0,0.55,0,0,1.64,4.92,1.09,0,0.55,0,0.55,0,1.64,0,0.55,0,0,0,0,0.55,0,0,13.12
