stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,2.14,0,0,0,1.07,0,0,0
21Day,1.34,0,0,4.02,1.34,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0
3Month,0,1.28,0,9.92,0,0.32,1.28,0,0.96,0.32,0.96,0.32,0.96,0.96,1.28,0.32,0,0,0,2.56,0,0.64,0.32,1.92
22Month,0,0,0.55,1.09,0,0,0,0.55,4.37,0,2.19,0,0,0,0,0,0,0.55,0.55,0.55,0.55,0,0,0.55
