stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,8.17,0,0,0,0,0,0,0,8.17,0,0,0,0,0,73.56,4.09,12.26,0,0,0,0,8.17,32.69,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,6.42,5.35,0,0,0,0,0,0,0,0,0,1.07,0,3.21,16.05,0,0,0,0,0,0,16.05,4.28,0,0,1.07,0,1.07,0,0,0,0
21Day,6.69,1.34,0,1.34,4.02,2.68,0,0,0,0,1.34,0,0,1.34,1.34,0,1.34,2.68,9.37,9.37,0,0,0,0,1.34,2.68,0,0,4.02,1.34,4.02,0,0,0,0
3Month,0,0.64,1.28,16.64,0,0,0.96,0.32,2.56,1.28,0.32,0,19.2,5.76,0.32,6.4,1.28,4.48,4.16,6.72,0.32,0,3.2,1.28,0.96,0.64,1.28,0.32,0,1.92,287.95,0.32,2.88,200.61,4.8
22Month,0.55,1.64,1.64,7.11,0,0,1.64,0,1.09,2.19,3.83,0,43.73,0,0,15.31,0,1.09,3.83,18.59,0,7.11,1.09,0.55,1.09,0.55,0.55,0,0,0,148.69,0.55,0,3.28,3.28
