stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,28.6,32.69,0,77.64,8.17,0,0,0,0,0,0,8.17,4.09,0,0,0,8.17,24.52,49.04,216.58,0,0,0,0,44.95,2423.24,0,0,49.04,0,0,0,0,0,4.09,0,0,0
72hpf,16.05,9.63,0,26.74,8.56,17.12,0,3.21,0,1.07,0,0,0,0,2.14,0,24.61,22.47,17.12,110.19,0,2.14,1.07,1.07,171.17,760.62,0,0,65.26,5.35,0,26.74,2.14,0,1.07,0,0,0
21Day,21.42,6.69,4.02,66.93,0,69.6,0,32.12,0,1.34,0,0,0,0,26.77,0,1.34,18.74,6.69,69.6,0,0,8.03,1.34,49.53,226.21,0,0,18.74,5.35,4.02,8.03,1.34,4.02,5.35,0,0,5.35
3Month,0,1.6,0.32,41.27,0,0,0.64,3.2,2.24,11.84,0,0,16.64,7.04,5.76,5.76,3.2,7.68,16.96,8,2.56,0.32,0.64,1.92,3.2,5.12,0.96,0,0,5.12,286.03,0.96,0,0,0,3.2,121.9,9.28
22Month,0.55,4.37,3.28,36.08,0,0,2.73,2.73,2.73,22.41,13.67,0,170.56,11.48,10.93,20.23,1.64,1.64,41.55,16.4,1.09,3.83,0.55,0.55,1.09,1.64,0.55,2.19,1.09,0.55,66.69,0,0.55,0,0.55,0.55,0,2.73
