stage,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neurosecretory_cell
3Month,27.84,1.28,0.32,0.96,0.64
22Month,16.4,0,0,0,0
