stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell
24hpf,0,4.09,0,0,0,8.17,24.52,0,0
72hpf,0,1.07,0,0,0,0,8.56,1.07,0
21Day,1.34,4.02,0,0,0,1.34,29.45,2.68,1.34
3Month,0,0.32,0,0.32,0,0,2.24,0.64,0
22Month,0,1.64,0.55,0,0.55,0,1.09,0,0
