stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,2.14,0,5.35,0,0,1.07,0,0,0,0,0,1.07,0,0,5.35,2.14,1.07,0,0,0,94.14,0,1.07,0,4.28,0,0,1.07,0,0,0
21Day,2.68,2.68,0,53.54,5.35,0,0,0,0,0,0,0,0,0,1.34,66.93,2.68,6.69,0,0,0,53.54,2.68,0,0,2.68,2.68,0,1.34,0,0,1.34
3Month,0,0.96,0.96,26.24,0,0.32,0,0,2.24,0,36.15,1.6,0.32,1.6,0.32,27.52,2.56,4.8,1.28,0.32,0.32,0.32,0.32,0.32,0,0.32,0.96,3.2,0,0.64,0.96,1.6
22Month,0.55,3.83,0.55,8.2,0,0.55,0,1.09,6.01,5.47,47.01,1.09,2.19,4.37,0,5.47,2.73,4.37,0.55,1.64,1.09,0.55,0,0,0.55,0,0,0.55,1.09,0,0,0.55
