stage,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell
21Day,0,0,1.34,0,0
3Month,0.32,0,1.28,0.32,0
22Month,0,0.55,7.65,0.55,0.55
