stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,0,0,0,0,0,4.09,0,4.09,4.09,36.78,0,0
72hpf,0,0,0,0,1.07,4.28,0,5.35,0,3.21,4.28,0
21Day,2.68,2.68,0,0,0,1.34,0,4.02,0,2.68,5.35,0
3Month,0,0.64,0,0.32,0.32,0.32,0,0,0,0,0,0.32
22Month,2.19,2.19,4.92,3.28,0,0,0.55,0,0,1.64,0,0
