stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,32.69,0,0,0,0,4.09,44.95,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,9.63,0,11.77,2.14,2.14,0,0,0,0,0,0,0,0,0,0,12.84,23.54,1.07,40.65,0,1.07,1.07,0,16.05,25.67,0,19.26,0,0,0,10.7,0,0,2.14,0,0,0
21Day,2.68,1.34,0,30.79,1.34,2.68,0,1.34,0,0,0,0,0,0,2.68,0,5.35,48.19,8.03,54.88,0,0,6.69,0,5.35,8.03,0,14.72,4.02,0,0,2.68,1.34,1.34,2.68,0,0,0
3Month,0.32,3.52,0.32,9.6,0.64,0,0,0.32,0.32,8,3.84,0.64,4.8,8.96,0,1.28,0.64,33.27,11.84,29.12,12.16,0,2.24,0.32,0.96,0.32,0.32,1.28,0.96,0.32,16.32,0,0,0,0,1.28,4.16,1.28
22Month,0,6.56,0.55,9.29,0,0,0.55,0,0,2.19,4.92,19.13,35.53,1.09,0,2.73,0.55,17.49,7.65,12.03,0.55,0,5.47,0,0.55,0,1.64,0.55,0,0,4.37,3.28,0,0,0.55,0,0,0
