stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,16.35,8.17,0,0,0,4.09,0,0,0,4.09,0,0,0,0,4.09,0,4.09,12.26,0,0,0,0,0,192.06,0,0,8.17,0,0,0,0,0,4.09,0,0,0
72hpf,8.56,6.42,12.84,1.07,11.77,0,0,0,0,0,0,0,0,3.21,0,6.42,19.26,1.07,43.86,0,2.14,0,0,244.98,130.51,1.07,0,29.95,0,0,13.91,0,0,6.42,0,0,0
21Day,2.68,2.68,14.72,0,16.06,0,5.35,0,1.34,0,0,1.34,2.68,10.71,1.34,2.68,8.03,2.68,17.4,0,0,1.34,0,40.16,33.46,0,1.34,10.71,5.35,0,2.68,4.02,1.34,1.34,0,0,2.68
3Month,0,1.28,8.64,0,0,0,0.32,0.64,0.64,0,0,4.48,0,0,1.92,0,4.16,2.56,3.2,1.6,0,0.32,0.32,1.28,0.64,0.32,0,0,1.28,9.92,0,0,0,0,0.64,6.72,0.64
22Month,0,1.09,2.73,0,0,0.55,0,0,2.19,1.64,0,18.59,0,1.64,3.83,0,0.55,3.28,5.47,0,1.64,0,0.55,0.55,0.55,1.64,0.55,0.55,0,1.09,2.19,0,0,0,1.09,0,1.09
