stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,2.14,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0
21Day,0,0,1.34,1.34,0,0,0,0,0,5.35,18.74,0,0,0,4.02,2.68,0,0,0,0,2.68,0,0,0,0,1.34,0,0,1.34,0,0,58.9
3Month,0,0.64,1.6,0,0.32,0.32,2.56,0,8,119.02,0,1.6,0.32,1.28,2.24,2.24,0.64,0,0.64,0.32,0,0,0.32,0.32,0,0,0.96,2.24,0,0.96,0.96,22.08
22Month,1.09,0,0.55,0,0,0.55,0.55,0.55,4.92,17.49,0,0,0,0,0.55,1.09,0,0.55,0,0,0,0,0,0,0,0.55,0,0.55,0,0,0,44.83
