stage,Epithelial_cell,Epithelial_cell__Brain_,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,8.17,0,0,0
72hpf,0,0,1.07,26.74,0,1.07,0
21Day,24.09,1.34,1.34,13.39,1.34,0,1.34
3Month,0.96,0,0,0,0,0,0
