stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,0,0,1.34,0,1.34,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0
3Month,0.64,5.44,0.32,0,0.96,0.64,3.84,0.96,1.28,1.92,0.64,2.56,0.64,2.56,0.64,0,0.32,0.64,0.32,0.96,0,0.64,102.38,16.96,0.96
22Month,0,0,0,0.55,0,1.09,2.73,0,2.19,0,0,0,2.19,9.29,0.55,0.55,0,0.55,0,0.55,0.55,0,13.67,0,0
