stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,73.82,4.28,0,0,2.14,0,0,0,0,0,0
21Day,0,0,0,1.34,5.35,0,0,1.34,0,0,0,0,0,0,0,0,37.48,2.68,0,0,0,1.34,0,5.35,0,0,0
3Month,0,0.64,0,2.24,0,0.64,0.32,8.64,0.32,0.96,0.32,1.28,1.28,0,0,0,0.32,0,0,0.32,0,0,0.32,0.32,0.32,9.28,0.32
22Month,0.55,0.55,0.55,0,0,0.55,3.28,25.15,0,1.09,0,1.64,1.64,0.55,0.55,0.55,2.19,0,0.55,0.55,0,0,0.55,0,0,0,0.55
