stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,28.88,16.05,0,0,0,0,0,0,0,0,0,5.35,1.07,2.14,0,0,0,9.63,1.07,0,0,3.21,0,0,2.14,1.07,0,0,0
21Day,0,0,1.34,1.34,4.02,9.37,0,0,0,0,0,0,0,0,0,1.34,0,2.68,0,0,0,1.34,0,1.34,0,0,0,0,1.34,0,0,0,0
3Month,0,0.32,0,3.2,1.92,0,0,0.32,0.96,0,12.48,1.6,0.32,1.92,0.32,1.6,1.28,0.96,0.32,0,0.32,1.28,0,0.32,0,0,0.32,0.64,0,0,0.32,0.64,1.6
22Month,0,0,1.09,6.01,2.19,0,0.55,1.09,3.28,3.28,45.37,1.09,1.64,6.01,0.55,0.55,2.73,4.92,0,0.55,1.09,0.55,0,1.09,1.09,0.55,0,0,0.55,0.55,0.55,0,1.64
