stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,4.09,0,12.26,4.09,0,0,4.09,0,0,0,28.6,0,0,0,0,20.43,0,36.78,8.17,0,0,0,224.75,81.73,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,11.77,0,0,0,0,0,0,0,0,0,0,0,0,25.67,3.21,0,0,0,1.07,9.63,207.54,5.35,0,0,3.21,0,0,2.14,0,0,3.21,0,0,0
21Day,4.02,1.34,10.71,64.25,0,8.03,0,13.39,0,0,0,0,1.34,0,1.34,0,17.4,10.71,1.34,12.05,0,10.71,16.06,120.47,2.68,5.35,0,1.34,1.34,17.4,0,0,2.68,1.34,0,0,1.34
3Month,0.96,0.64,1.28,54.39,0,0,1.28,0,0.64,3.2,0,0,10.24,2.24,0.96,7.04,10.88,4.8,5.12,1.92,0,1.6,27.2,2.56,0.64,12.48,0,0,1.6,91.51,0.32,0.32,0,0,0.64,18.56,16.64
22Month,0,0.55,0,32.25,0,0,0.55,0,0.55,7.11,3.28,0,16.4,1.64,1.09,3.28,15.31,0,10.39,3.83,1.09,1.64,18.04,7.11,0,54.67,18.04,0.55,0,81.45,0.55,0,0,0,0.55,0,2.19
