stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,2.14,0,0,0,0,0,0,0,0,0
21Day,0,0,1.34,1.34,0,0,0,8.03,0,1.34,0,1.34,2.68,1.34,0,0,2.68,1.34,1.34,1.34,0,0,13.39
3Month,0.32,1.92,0,0,0.32,0.64,0.64,0,2.24,1.92,0.32,2.56,1.6,0.32,0.32,0.32,0.32,0.32,6.4,0,10.88,1.6,21.76
22Month,0,1.64,0,0,0,2.19,3.83,0.55,1.09,0.55,0,1.09,0.55,0,0,0.55,0.55,0,4.37,0,0.55,0,20.77
