stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,4.09,0,0,0,0,4.09,0,163.46,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,11.77,4.28,0,0,0,0,2.14,524.2,0,2.14,0,0,19.26,10.7,3.21,0,2.14,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0
3Month,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0.32,0,0,0,0,0,0.32
22Month,0,0.55,0,0,0.55,4.37,0.55,0.55,0,0,0.55,1.09,0,0,0,0,0,0.55,0,0.55
