stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,8.17,0,28.6,0,0,0,0,0,0,0
72hpf,0,1.07,1.07,0,0,0,0,0,0,0,0,0,2.14,7.49,1.07,1.07,0,1.07,0,0,0
21Day,0,1.34,0,5.35,0,0,0,0,1.34,0,0,2.68,4.02,0,0,1.34,0,1.34,0,0,1.34
3Month,0.32,1.6,0,0,0.32,0.32,0.64,0.32,0,0.64,0.32,0.96,0,0,0,0,3.2,0,0.32,0.96,1.6
