stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,20.43,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,9.63,0,1.07,0,2.14,5.35,0,1.07
21Day,1.34,0,2.68,0,4.02,2.68,0,1.34,0,4.02,1.34,0
22Month,0,0,0,1.64,0,0,0,0,0,0,0,0
