stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,20.43,0,65.38,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,32.69,36.78,61.3,0,0,0,57.21,666.08,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,12.84,7.49,0,23.54,3.21,3.21,0,0,0,0,1.07,0,0,0,0,1.07,0,9.63,73.82,6.42,48.14,0,0,0,394.75,128.37,1.07,3.21,48.14,2.14,0,10.7,5.35,1.07,6.42,0,0,0
21Day,13.39,2.68,1.34,64.25,1.34,12.05,0,12.05,0,0,1.34,0,0,8.03,2.68,12.05,4.02,2.68,20.08,5.35,80.31,0,12.05,0,133.85,64.25,0,4.02,29.45,8.03,0,12.05,2.68,14.72,5.35,1.34,0,5.35
3Month,0,3.2,0.96,29.44,0.32,0,0.96,0.64,0.32,5.12,5.76,0,0,19.84,10.88,1.92,31.36,2.24,7.68,4.8,8.96,2.56,4.16,0.32,5.12,0.32,3.2,0.96,0.64,1.28,14.08,0,0,0,0,5.12,7.68,7.04
22Month,0,2.19,1.09,6.56,0,0,0,0.55,0,4.92,11.48,1.09,0,50.84,4.37,0.55,19.13,1.09,4.37,6.56,6.01,0,1.09,0,1.64,0.55,3.28,3.28,0,0,1.64,2.19,0,0,0,0.55,0,1.64
