stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,53.12,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,0,2.14,0,0,0,0,0,0,0,0,1.07,4.28,1.07,3.21,0,0,0,0,22.47,6.42,0,0,1.07,0,0,1.07,1.07,0,0,0
21Day,1.34,0,1.34,8.03,4.02,1.34,0,0,0,0,0,2.68,0,0,0,4.02,8.03,0,0,0,0,5.35,5.35,1.34,0,4.02,1.34,0,1.34,0,0,0,0
3Month,0,0.32,0,7.68,0,0,0.32,0.96,1.28,10.88,0.96,0,3.84,0.64,0.64,2.24,0.96,0,0,0,0.32,1.28,0,0.96,0,0,0.32,9.28,0,0,1.6,3.84,0
22Month,0.55,1.09,0,1.09,0,0,0,0,4.37,23.51,1.09,0,2.73,0,0,1.09,2.19,0.55,1.09,0.55,0,0.55,0,0.55,0.55,0,0,0,0,0,0,0,0.55
