stage,Hepatocyte,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,T_cell
24hpf,0,0,0,0,0,0,4.09,0,0
72hpf,0,0,0,0,1.07,1.07,0,0,0
21Day,0,2.68,0,1.34,0,0,0,1.34,2.68
3Month,0,0,0.32,0,0,0,0,0,1.6
22Month,1.09,0,0,0,0,0,0,0,0
