stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,2.14,0,3.21,1.07,0,1.07,0,0,0,0,0,0,131.58,0,1.07,0,6.42,4.28,0,2.14,0,0,0,0,0,0
21Day,5.35,1.34,445.73,0,6.69,0,0,1.34,1.34,2.68,4.02,8.03,317.23,1.34,30.79,2.68,25.43,2.68,1.34,9.37,5.35,0,4.02,1.34,1.34,1.34
3Month,0,0,3.84,0,0,0,0.32,1.6,0.32,0,0.64,0.32,0,0,0.32,0,0,0,0,0,0,0.96,0,0,0,1.6
22Month,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
