stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,678.34,40.86,0,890.84,0,20.43,0,0,0,0,0,0,0,0,53.12,12.26,53.12,1025.69,0,0,0,326.91,7396.39,0,0,20.43,0,0,0,0,0,0,0,0,0
72hpf,71.68,7.49,0,36.37,2.14,7.49,0,0,0,0,1.07,0,1.07,0,27.81,40.65,3.21,224.66,0,0,6.42,912.53,203.26,0,0,441.82,1.07,1.07,75.96,8.56,0,4.28,0,0,0
21Day,105.74,10.71,8.03,34.8,1.34,10.71,0,1.34,2.68,0,4.02,0,2.68,1.34,5.35,6.69,2.68,261.01,0,0,8.03,58.9,36.14,0,2.68,406.91,9.37,0,18.74,0,5.35,1.34,0,0,1.34
3Month,0,4.8,21.76,16.96,0,0,0,0,10.88,1.28,8.64,1.92,0.96,16.64,0.64,2.88,8,34.23,1.92,0,61.11,0.64,0,3.2,0.64,0.64,1.6,5.44,0.64,0,0,0,0.64,8,0.64
22Month,0,3.28,14.76,4.37,0,0,0.55,0,2.19,1.64,13.12,0,0,15.31,0,0.55,1.09,22.41,0,0.55,9.29,0,0,0.55,0,0,0,14.76,0,0,0,0,0.55,0,0
